Wall time,Step,Value
1597518420.1131444,1072,25.0
1597518420.3346405,1073,51.0
1597518420.5071328,1074,31.0
1597518420.7213082,1075,51.0
1597518420.9217331,1076,38.0
1597518421.352254,1078,28.0
1597518421.6480536,1080,22.0
1597518421.7906888,1081,24.0
1597518421.8830745,1082,19.0
1597518422.08035,1083,51.0
1597518422.2434502,1084,26.0
1597518422.4900796,1085,51.0
1597518422.6445196,1086,23.0
1597518423.3511786,1090,51.0
1597518423.641912,1092,31.0
1597518423.7717037,1093,27.0
1597518424.5880957,1099,30.0
1597518424.9062502,1101,27.0
1597518425.1633103,1103,25.0
1597518425.3235645,1104,31.0
1597518425.5665936,1105,51.0
1597518426.0755439,1107,51.0
1597518426.593914,1111,20.0
1597518426.9025252,1114,21.0
1597518427.1098814,1116,24.0
1597518427.4169185,1119,24.0
1597518428.0600603,1122,51.0
1597518428.3201032,1123,51.0
1597518428.783067,1125,30.0
1597518428.92743,1126,25.0
1597518429.0557027,1127,21.0
1597518429.1714811,1128,23.0
1597518429.3198864,1129,29.0
1597518429.5538476,1130,51.0
1597518429.71625,1131,21.0
1597518429.9746287,1133,24.0
1597518430.2193363,1134,51.0
1597518430.3767822,1135,23.0
1597518430.8449047,1138,51.0
1597518431.035895,1139,30.0
1597518431.289954,1141,18.0
1597518432.5301397,1149,23.0
1597518432.6390586,1150,22.0
1597518432.7630777,1151,26.0
1597518432.8804038,1152,22.0
1597518432.9986982,1153,24.0
1597518433.2642548,1155,23.0
1597518433.4752605,1156,51.0
1597518433.7179062,1157,51.0
1597518434.3230436,1160,51.0
1597518434.6221223,1161,51.0
1597518434.7697556,1162,22.0
1597518435.1064823,1164,22.0
1597518435.2169151,1165,21.0
1597518435.45641,1167,23.0
1597518437.5025656,1177,25.0
1597518437.8577163,1180,21.0
1597518437.9926965,1181,21.0
1597518438.1437893,1182,32.0
1597518438.3112433,1183,36.0
1597518438.5801334,1185,28.0
1597518438.7378657,1186,30.0
1597518438.9796565,1187,51.0
1597518439.407621,1189,22.0
1597518439.8926742,1192,27.0
1597518440.1433182,1193,51.0
1597518440.326103,1194,26.0
1597518440.4641073,1195,26.0
1597518440.596134,1196,24.0
1597518440.7240756,1197,24.0
1597518440.8473287,1198,23.0
1597518440.9736042,1199,24.0
1597518441.2203634,1201,19.0
1597518441.4497013,1203,22.0
1597518441.5806837,1204,25.0
1597518441.8119414,1206,19.0
1597518442.0358264,1208,22.0
1597518442.2789745,1210,23.0
1597518442.3890007,1211,20.0
1597518442.512005,1212,28.0
1597518442.6324973,1213,24.0
1597518442.733469,1214,20.0
1597518442.8516097,1215,27.0
1597518443.7369566,1219,27.0
1597518444.495379,1224,24.0
1597518444.642265,1225,28.0
1597518444.8792238,1227,25.0
1597518444.9904606,1228,24.0
1597518445.1105003,1229,27.0
1597518445.67731,1232,30.0
1597518445.8096168,1233,23.0
1597518445.9164858,1234,19.0
1597518446.1927314,1236,25.0
1597518446.4295735,1238,19.0
1597518446.5472658,1239,21.0
1597518446.8770497,1242,19.0
1597518447.2860372,1244,51.0
1597518447.764153,1246,24.0
1597518447.8774323,1247,18.0
1597518448.1029215,1249,20.0
1597518448.3569558,1250,51.0
1597518449.0559168,1253,21.0
1597518449.2391102,1254,28.0
1597518449.367889,1255,18.0
1597518449.7178214,1257,23.0
1597518449.8538146,1258,23.0
1597518449.9560285,1259,19.0
1597518450.244809,1261,25.0
1597518450.400955,1262,19.0
1597518450.5122764,1263,19.0
1597518450.6573222,1264,32.0
1597518450.9142425,1265,51.0
1597518451.1445978,1266,29.0
1597518451.523902,1268,23.0
1597518451.8880618,1271,25.0
1597518451.9952426,1272,21.0
1597518452.221677,1274,23.0
1597518452.7412972,1278,20.0
1597518452.9359848,1279,51.0
1597518453.3838096,1281,51.0
1597518453.9873447,1285,28.0
1597518454.2318609,1287,26.0
1597518454.417268,1289,20.0
1597518454.6735435,1291,28.0
1597518454.9169867,1292,51.0
1597518455.104328,1293,28.0
1597518455.24893,1294,21.0
1597518455.583259,1296,22.0
1597518455.8649147,1299,21.0
1597518455.9590766,1300,21.0
1597518456.195235,1302,19.0
1597518456.2999334,1303,24.0
1597518456.4997153,1304,51.0
1597518456.7666862,1306,22.0
1597518457.1578789,1310,21.0
1597518457.3911712,1312,24.0
1597518457.5024018,1313,20.0
1597518457.7727733,1315,23.0
1597518457.8986812,1316,23.0
1597518458.1415277,1317,51.0
1597518458.3938718,1319,21.0
1597518458.4830225,1320,19.0
1597518458.871315,1324,24.0
1597518459.0049086,1325,21.0
1597518459.2185974,1326,51.0
1597518459.3726099,1327,18.0
1597518459.490131,1328,26.0
1597518459.8866796,1330,51.0
1597518460.3231,1332,25.0
1597518460.5059655,1333,29.0
1597518460.6768987,1334,24.0
1597518460.8052056,1335,20.0
1597518461.0849574,1336,51.0
1597518461.2611856,1337,24.0
1597518461.7819257,1340,22.0
1597518462.3138697,1343,22.0
1597518462.6373906,1345,25.0
1597518463.2995613,1347,51.0
1597518463.5950737,1348,51.0
1597518463.8704627,1349,51.0
1597518464.149897,1350,51.0
1597518464.4311502,1351,51.0
1597518465.0702574,1355,21.0
1597518465.695979,1359,28.0
1597518466.1173744,1361,51.0
1597518466.3057542,1362,23.0
1597518466.5944269,1363,51.0
1597518466.9082623,1365,19.0
1597518467.019238,1366,21.0
1597518467.1235096,1367,20.0
1597518467.5233727,1370,51.0
1597518468.0861912,1373,19.0
1597518468.1895,1374,25.0
1597518468.2845528,1375,19.0
1597518468.5026543,1377,23.0
1597518468.614103,1378,19.0
1597518468.731801,1379,24.0
1597518468.9455488,1381,20.0
1597518469.0747492,1382,26.0
1597518469.278926,1384,18.0
1597518469.3599782,1385,18.0
1597518469.4433813,1386,18.0
1597518469.5527267,1387,26.0
1597518469.7532206,1388,51.0
1597518469.9053922,1389,26.0
1597518470.1398447,1391,21.0
1597518470.2341852,1392,20.0
1597518470.701424,1395,20.0
1597518471.485527,1400,21.0
1597518471.9433272,1404,19.0
1597518473.0846994,1412,18.0
1597518473.1833475,1413,21.0
1597518473.278616,1414,21.0
1597518473.3635685,1415,18.0
1597518473.57902,1416,51.0
1597518473.970905,1419,23.0
1597518474.0947604,1420,21.0
1597518474.3481002,1422,20.0
1597518474.4526303,1423,19.0
1597518474.7597883,1425,19.0
1597518474.8583066,1426,18.0
1597518474.9544613,1427,18.0
1597518475.08037,1428,23.0
1597518475.3113034,1430,19.0
1597518475.669636,1432,18.0
1597518475.7650871,1433,19.0
1597518475.8776991,1434,22.0
1597518476.2077937,1436,51.0
1597518476.346261,1437,18.0
1597518476.4469037,1438,20.0
1597518476.6679993,1440,18.0
1597518476.8712788,1442,19.0
1597518477.5065134,1448,21.0
1597518477.7024946,1450,19.0
1597518478.3057165,1454,19.0
1597518478.4055521,1455,19.0
1597518478.4992626,1456,18.0
1597518479.07144,1460,21.0
1597518479.6161358,1465,20.0
1597518479.7888649,1466,25.0
1597518480.178035,1470,19.0
1597518480.4655416,1473,21.0
1597518480.5674498,1474,18.0
1597518480.859929,1477,18.0
1597518481.371174,1480,19.0
1597518481.483717,1481,21.0
1597518481.5757377,1482,18.0
1597518481.8551354,1485,22.0
1597518482.1129818,1486,51.0
1597518482.7387674,1489,51.0
1597518482.8842666,1490,18.0
1597518482.990962,1491,20.0
1597518483.0813894,1492,19.0
1597518483.2737887,1493,51.0
1597518484.2238474,1500,21.0
1597518484.3670132,1501,18.0
1597518484.4803581,1502,22.0
1597518484.5781014,1503,18.0
1597518484.7709684,1505,20.0
1597518484.9004273,1506,27.0
1597518485.0007706,1507,18.0
1597518485.086661,1508,19.0
1597518485.1744492,1509,19.0
1597518485.368993,1510,51.0
1597518485.5179546,1511,20.0
1597518485.6130602,1512,20.0
1597518485.7129507,1513,19.0
1597518486.0350463,1516,19.0
1597518486.2064114,1518,18.0
1597518486.7673175,1523,20.0
1597518486.8718033,1524,19.0
1597518486.9696474,1525,21.0
1597518487.1938086,1527,18.0
1597518487.64633,1531,18.0
1597518487.9708018,1534,19.0
1597518488.1562698,1536,18.0
1597518488.5472085,1540,20.0
1597518488.6621323,1541,19.0
1597518488.7731738,1542,20.0
1597518488.8978674,1543,18.0
1597518489.160319,1546,22.0
1597518489.3690825,1548,27.0
1597518489.4822972,1549,23.0
1597518489.587721,1550,18.0
1597518489.6876302,1551,18.0
1597518489.78428,1552,18.0
1597518490.0302093,1554,19.0
1597518490.1398137,1555,20.0
1597518490.4582446,1558,19.0
1597518490.747929,1561,19.0
1597518490.8315384,1562,18.0
1597518490.9210346,1563,19.0
1597518491.4146233,1568,18.0
1597518491.5343509,1569,20.0
1597518491.634514,1570,18.0
1597518492.5799265,1578,18.0
1597518492.66601,1579,20.0
1597518492.757345,1580,18.0
1597518493.0027177,1582,21.0
1597518493.1171641,1583,19.0
1597518493.2528758,1584,21.0
1597518493.3776262,1585,22.0
1597518493.4940434,1586,19.0
1597518493.6253216,1587,19.0
1597518493.7236075,1588,20.0
1597518494.0508168,1590,51.0
1597518494.32979,1592,19.0
1597518494.433267,1593,19.0
1597518494.5477953,1594,20.0
1597518494.753471,1596,18.0
1597518494.8839507,1597,22.0
1597518495.0985851,1599,19.0
1597518495.3440983,1601,18.0
1597518495.451085,1602,18.0
1597518495.703938,1604,19.0
1597518495.8272774,1605,19.0
1597518496.3883984,1609,51.0
1597518496.5682383,1610,23.0
1597518496.8226004,1611,51.0
1597518496.971737,1612,20.0
1597518497.0787175,1613,20.0
1597518497.1831088,1614,20.0
1597518497.4160392,1615,51.0
1597518497.6774669,1617,18.0
1597518497.7914758,1618,19.0
1597518497.8979754,1619,20.0
1597518497.98658,1620,19.0
1597518498.342401,1624,18.0
1597518498.5353782,1626,19.0
1597518498.637002,1627,21.0
1597518498.730075,1628,18.0
1597518498.932974,1630,20.0
1597518499.133395,1632,19.0
1597518499.3390698,1634,18.0
1597518499.569929,1636,19.0
1597518499.6748245,1637,19.0
1597518499.7670152,1638,21.0
1597518499.9746876,1640,18.0
1597518500.0808418,1641,22.0
1597518500.1683636,1642,19.0
1597518500.2681577,1643,24.0
1597518500.3552907,1644,18.0
1597518500.448903,1645,22.0
1597518500.6201382,1647,20.0
1597518500.7038507,1648,18.0
1597518500.974985,1651,18.0
1597518501.0588303,1652,18.0
1597518501.33063,1654,51.0
1597518501.5155761,1655,20.0
1597518501.8055358,1658,18.0
1597518501.9294245,1659,24.0
1597518502.0527117,1660,19.0
1597518502.1743557,1661,19.0
1597518502.2772503,1662,18.0
1597518502.604052,1664,51.0
1597518503.050981,1668,20.0
1597518503.2387116,1670,19.0
1597518503.3639946,1671,22.0
1597518503.454469,1672,18.0
1597518503.7409868,1675,18.0
1597518503.8321247,1676,18.0
1597518504.063463,1678,22.0
